Daerah,Kebijakan yang masih sentralistik - Transisi Energi,Kebijakan yang masih sentralistik - Energi Baru Terbarukan,Kebijakan yang masih sentralistik - Krisis Iklim/Perubahan Iklim,Kebijakan yang masih sentralistik - Mineral Kritis,Kuatnya ego sektoral antara Organisasi Pemerintah Daerah - Transisi Energi,Kuatnya ego sektoral antara Organisasi Pemerintah Daerah - Energi Baru Terbarukan,Kuatnya ego sektoral antara Organisasi Pemerintah Daerah - Krisis Iklim/Perubahan Iklim,Kuatnya ego sektoral antara Organisasi Pemerintah Daerah - Mineral Kritis,Kapasitas para kandidat di Pilkada yang lemah - Transisi Energi,Kapasitas para kandidat di Pilkada yang lemah - Energi Baru Terbarukan,Kapasitas para kandidat di Pilkada yang lemah - Krisis Iklim/Perubahan Iklim,Kapasitas para kandidat di Pilkada yang lemah - Mineral Kritis,"Kurangnya kerjasama antara elit, CSO dan masyarakat - Transisi Energi","Kurangnya kerjasama antara elit, CSO dan masyarakat - Energi Baru Terbarukan","Kurangnya kerjasama antara elit, CSO dan masyarakat - Krisis Iklim/Perubahan Iklim","Kurangnya kerjasama antara elit, CSO dan masyarakat - Mineral Kritis",Dibutuhkan sumber daya finansial yang lebih besar - Transisi Energi,Dibutuhkan sumber daya finansial yang lebih besar - Energi Baru Terbarukan,Dibutuhkan sumber daya finansial yang lebih besar - Krisis Iklim/Perubahan Iklim,Dibutuhkan sumber daya finansial yang lebih besar - Mineral Kritis,Adanya potensi konflik kepentingan antar elit dan kandidat jika isu ini dibawa ke Pilkada - Transisi Energi,Adanya potensi konflik kepentingan antar elit dan kandidat jika isu ini dibawa ke Pilkada - Energi Baru Terbarukan,Adanya potensi konflik kepentingan antar elit dan kandidat jika isu ini dibawa ke Pilkada - Krisis Iklim/Perubahan Iklim,Adanya potensi konflik kepentingan antar elit dan kandidat jika isu ini dibawa ke Pilkada - Mineral Kritis,Sumber Daya dan Kesiapan Masyarakat yang lemah - Transisi Energi,Sumber Daya dan Kesiapan Masyarakat yang lemah - Energi Baru Terbarukan,Sumber Daya dan Kesiapan Masyarakat yang lemah - Krisis Iklim/Perubahan Iklim,Sumber Daya dan Kesiapan Masyarakat yang lemah - Mineral Kritis,Masyarakat lebih fokus pada masalah keseharian yang lebih konkret dibanding empat isu tersebut - Transisi Energi,Masyarakat lebih fokus pada masalah keseharian yang lebih konkret dibanding empat isu tersebut - Energi Baru Terbarukan,Masyarakat lebih fokus pada masalah keseharian yang lebih konkret dibanding empat isu tersebut - Krisis Iklim/Perubahan Iklim,Masyarakat lebih fokus pada masalah keseharian yang lebih konkret dibanding empat isu tersebut - Mineral Kritis
Morowali,Transisi Energi,,,Mineral Kritis,Transisi Energi,,,Mineral Kritis,Transisi Energi,,,Mineral Kritis,Transisi Energi,,,Mineral Kritis,Transisi Energi,,,Mineral Kritis,Transisi Energi,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,,
Morowali,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,,,,,,,,,,,,,,,,,,,,,,
Morowali Utara,,,,Mineral Kritis,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,
Sigi,Transisi Energi,,,Mineral Kritis,,,,,,,,,Transisi Energi,,Krisis Iklim/Perubahan Iklim,,,Energi Baru Terbarukan,,Mineral Kritis,Transisi Energi,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,Energi Baru Terbarukan,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,
Morowali Utara,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,,,Transisi Energi,Energi Baru Terbarukan,,,Transisi Energi,Energi Baru Terbarukan,,,Transisi Energi,Energi Baru Terbarukan,,Mineral Kritis
Kota Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Prov Palu,,,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,,,Mineral Kritis,,,,Mineral Kritis,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,Energi Baru Terbarukan,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Kota Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Prov Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Sigi,,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,
Prov Palu,,,,Mineral Kritis,,Energi Baru Terbarukan,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,,,Krisis Iklim/Perubahan Iklim,
Sigi,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Prov Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Sigi,,Energi Baru Terbarukan,,,Transisi Energi,,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Prov Palu,,,,Mineral Kritis,,,,Mineral Kritis,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,,Energi Baru Terbarukan,,,,,,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Prov Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Sigi,Transisi Energi,Energi Baru Terbarukan,,,Transisi Energi,Energi Baru Terbarukan,,,,Energi Baru Terbarukan,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,,Energi Baru Terbarukan,,,Transisi Energi,Energi Baru Terbarukan,,Mineral Kritis,,Energi Baru Terbarukan,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,,
Prov Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,,,Energi Baru Terbarukan,,,,,,Mineral Kritis,Transisi Energi,,,,,,Krisis Iklim/Perubahan Iklim,
Kota Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,,,,,,Transisi Energi,Energi Baru Terbarukan,,Mineral Kritis
Prov Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Prov Palu,Transisi Energi,Energi Baru Terbarukan,,,,,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,,Mineral Kritis,,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,,,,,Mineral Kritis,Transisi Energi,,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Prov Palu,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis
Prov Palu,,,,Mineral Kritis,,,,Mineral Kritis,,Energi Baru Terbarukan,,,,Energi Baru Terbarukan,,Mineral Kritis,Transisi Energi,,,,,,,Mineral Kritis,,,,Mineral Kritis,Transisi Energi,,,
Kota Palu,,Energi Baru Terbarukan,,Mineral Kritis,,,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,,Mineral Kritis,,,,Mineral Kritis,Transisi Energi,Energi Baru Terbarukan,Krisis Iklim/Perubahan Iklim,Mineral Kritis,,,Krisis Iklim/Perubahan Iklim,
